;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;id;compagny_name;address;code_nace;code_nace_desc
0;0;0.0;0.0;1;ADMINISTRATION DES BATIMENTS PUBLICS;10, RUE DU ST. ESPRIT,L-1475 LUXEMBOURG;84.113;Activités de soutien aux administrations publiques
1;1;1.0;1.0;2;ADMINISTRATION DES DOUANES ET ACCISES;22, RUE DE BITBOURG,L-1273 LUXEMBOURG;84.111;Administration centrale
2;2;;;3;ADMINISTRATION DE LA NATURE ET DES FORETS;81, AVENUE DE LA GARE,L-9233 DIEKIRCH;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
3;3;;;4;ADMINISTRATION DES PONTS ET CHAUSSEES;38, BD. DE LA FOIRE,L-1528 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
4;4;;;5;OFFICE DES ASSURANCES SOCIALES;125, RTE. D'ESCH,L-1471 LUXEMBOURG;84.3;Sécurité sociale obligatoire
5;5;;;6;CHAMBRE DES DEPUTES;19, RUE DU MARCHE-AUX-HERBES,L-1728 LUXEMBOURG;84.111;Administration centrale
6;6;;;7;LYCEE DES ARTS ET METIERS (LAM);19, RUE GUILLAUME SCHNEIDER,L-2522 LUXEMBOURG;85.32;Enseignement secondaire technique ou professionnel
7;7;;;8;INSTITUT SUPERIEUR DE TECHNOLOGIE;RUE RICHARD COUDENHOVE-KALERGI,L-1359 LUXEMBOURG;85.42;Enseignement supérieur
8;8;;;9;GENDARMERIE GRAND-DUCALE;5, RUE AUGUSTE LUMIERE,L-1950 LUXEMBOURG;84.24;Activités dordre public et de sécurité
9;9;;;10;LABORATOIRE DE MEDECINE VETERINAIRE DE L'ETAT;1, RUE LOUIS RECH,L-3555 DUDELANGE;75.0;Activités vétérinaires
10;10;;;11;INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES;13, RUE ERASME,L-1468 LUXEMBOURG;84.111;Administration centrale
11;11;;;12;MINISTERE DES AFFAIRES ETRANGERES ET EUROPEENNES;9, RUE DU PALAIS DE JUSTICE,L-1841 LUXEMBOURG;84.21;Affaires étrangères
12;12;;;13;ADMINISTRATION DES SERVICES DE SECOURS;1, RUE ROBERT STUMPER,L-2557 LUXEMBOURG;84.25;Services du feu et de secours
13;13;;;14;POLICE - DIRECTION;71, RUE ADOLPHE FISCHER,L-1520 LUXEMBOURG;84.24;Activités dordre public et de sécurité
14;14;;;15;MINISTERE DE L'ECONOMIE - OFFICE COMMERCIAL;19, BD. ROYAL,L-2449 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
15;15;;;16;COMMANDEMENT DE L'ARMEE (ETAT-MAJOR DE L'ARMEE LUXEMBOURGEOISE);CASERNE GRAND-DUC JEAN,L-9330 DIEKIRCH;84.22;Défense
16;16;;;17;SERVICE DE RENSEIGNEMENTS DE L'ETAT;PLT. DU ST. ESPRIT,L-1475 LUXEMBOURG;84.24;Activités dordre public et de sécurité
